Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,572,497,75,0,"59,6 %","62,42","10,77","15,9 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 337,5 816,3 521,578,"47,5 %","52,15","2,80","1,4 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,244,243,1 à 10,0,"40,2 %","82,27","22,11","12,3 %"
CH,010780054,CH BOURG EN BRESSE,M12,29 398,18 683,10 715,46 955,"49,7 %","61,12","1,54","1,0 %"
CH,010780062,CH BUGEY SUD,M12,6 563,4 045,2 518,1 225,"47,2 %","57,29","3,08","2,0 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 201,2 121,80,1 à 10,"40,4 %","78,84","9,14","10,2 %"
CH,010780120,CH DE MEXIMIEUX,M12,168,168,0,0,"25,6 %","85,65","13,46","6,0 %"
CH,010780138,CH DE PONT DE VAUX,M12,70,70,0,0,"48,6 %","84,67","12,24","5,7 %"
CH,020000022,CH DE GUISE,M12,1 094,886,208,96,"44,9 %","75,62","7,41","5,4 %"
CH,020000048,CH GERONTOLOGIQUE,M12,640,634,1 à 10,0,"43,3 %","81,20","15,48","24,5 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,398,385,13,0,"41,2 %","78,32","10,37","9,0 %"
CH,020000063,CH DE SAINT QUENTIN,M12,39 581,25 199,14 382,49 380,"50,4 %","62,10","1,38","1,0 %"
CH,020000071,CH DE VERVINS,M12,433,432,1 à 10,0,"36,5 %","82,74","14,97","16,6 %"
CH,020000253,CH DE LAON,M12,18 511,9 648,8 863,9 514,"53,2 %","57,22","1,92","1,2 %"
CH,020000261,CH DE SOISSONS,M12,19 474,14 829,4 645,15 803,"50,0 %","60,25","2,40","1,9 %"
CH,020000287,CH DE CHAUNY,M12,8 885,5 807,3 078,1 803,"45,6 %","57,70","2,94","1,8 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,13 953,8 466,5 487,1 123,"45,4 %","53,14","3,36","2,1 %"
CH,020004495,CH BRISSET HIRSON,M12,4 238,1 579,2 659,0,"42,9 %","58,77","2,26","1,9 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,181,179,1 à 10,0,"39,2 %","82,73","20,43","4,4 %"
CH,030780092,CH MOULINS YZEURE,M12,19 896,12 948,6 948,11 258,"47,8 %","61,19","2,73","1,7 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,19 301,14 026,5 275,14 765,"49,2 %","62,30","2,98","2,2 %"
CH,030780118,CH VICHY,M12,29 240,16 221,13 019,16 614,"49,7 %","63,09","2,15","1,5 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,148,148,0,0,"33,1 %","81,26","13,17","6,1 %"
CH,040780132,EPS PIERRE GROUES DE BARCELONNETTE,M12,79,73,1 à 10,1 à 10,"41,0 %","80,39","8,96","10,8 %"
CH,040780140,EPS DUCELIA CASTELLANE,M12,116,113,1 à 10,0,"37,1 %","82,91","7,85","7,8 %"
CH,040780215,CHIC DE MANOSQUE LOUIS RAFFALLI,M12,12 036,8 757,3 279,5 930,"43,9 %","59,32","3,06","2,2 %"
CH,040780231,EPS LUMIERE DE RIEZ,M12,159,148,11,1 à 10,"39,1 %","76,97","6,87","4,3 %"
CH,040780249,EPS VALLEE DE LA BLANCHE,M12,82,82,0,0,"42,7 %","82,77","10,29","7,3 %"
CH,040788879,CH DIGNE,M12,11 071,5 321,5 750,2 213,"42,1 %","60,28","2,77","1,8 %"
CH,050000108,CH AIGUILLES QUEYRAS,M12,35,35,0,0,"42,9 %","82,77","27,91","8,6 %"
CH,050000116,CH DE BRIANCON,M12,10 268,5 303,4 965,5 507,"56,9 %","58,33","1,40","0,6 %"
CH,050000124,CH D'EMBRUN,M12,1 555,852,703,0,"49,1 %","65,01","4,12","2,7 %"
CH,050002948,CHICAS GAP-SISTERON,M12,24 154,16 949,7 205,14 398,"50,6 %","61,41","2,23","1,4 %"
CLCC,050007533,INSTITUT PAOLI CALMETTES RADIOTH GAP,M12,0,0,0,9 603,"52,2 %","68,95","0,00","0,0 %"
CLCC,060000528,CENTRE ANTOINE LACASSAGNE,M12,9 716,5 028,4 688,54 608,"43,9 %","63,49","0,44","0,4 %"
CH,060006889,HÔPITAUX DE LA VESUBIE,M12,146,143,1 à 10,0,"42,5 %","82,61","10,92","4,8 %"
CH,060780327,CH SAINT MAUR SAINT ETIENNE TINEE,M12,52,51,1 à 10,0,"30,8 %","84,54","12,54","17,3 %"
CH,060780657,CH DE BREIL SUR ROYA,M12,130,124,1 à 10,0,"40,0 %","76,81","13,05","5,4 %"
CH,060780780,CH DU PAYS DE LA ROUDOULE A PUGET,M12,71,71,0,0,"43,7 %","79,65","15,38","11,3 %"
CH,060780897,CH DE GRASSE,M12,20 884,15 002,5 882,5 659,"41,2 %","53,66","3,24","2,1 %"
CH,060780905,CH ST ELOI DE SOSPEL,M12,279,270,1 à 10,0,"39,4 %","79,97","13,14","12,2 %"
CH,060780921,CH ST LAZARE DE TENDE,M12,51,49,1 à 10,0,"45,1 %","79,04","20,12","7,8 %"
