Catégorie,Finess,Raison Sociale,Période,Nombre de séjoursséances total,Nombre de séjours en hospit complète,Nombre de séjours en hospit partielle,Nombre de séances,Sexe ratio (% homme),Age moyen,Durée moyenne de séjour,% décès
CH,010007987,CH HAUTEVILLE-LOMPNES,M12,583,580,1 à 10,0,"65,7 %","59,56","11,52","15,1 %"
CH,010008407,CH DU HAUT BUGEY,M12,9 910,6 884,3 026,176,"46,9 %","45,93","3,23","1,4 %"
CH,010009132,CHIC AIN VAL DE SAONE,M12,324,323,1 à 10,0,"40,1 %","83,42","17,86","7,1 %"
CH,010780054,CH BOURG EN BRESSE,M12,32 310,22 551,9 759,39 403,"48,7 %","59,61","1,71","1,1 %"
CH,010780062,CH BUGEY SUD,M12,7 336,5 423,1 913,903,"47,9 %","55,19","3,45","1,6 %"
CH,010780096,CH MONTPENSIER TREVOUX,M12,2 239,2 215,24,1 à 10,"39,2 %","81,54","8,52","11,4 %"
CH,010780120,CH DE MEXIMIEUX,M12,148,147,1 à 10,0,"34,5 %","83,75","12,64","16,9 %"
CH,010780138,CH DE PONT DE VAUX,M12,201,200,1 à 10,0,"39,8 %","85,24","11,86","13,4 %"
CH,020000022,CH DE GUISE,M12,1 189,1 105,84,1 à 10,"41,6 %","74,36","7,65","4,5 %"
CH,020000048,CH GERONTOLOGIQUE,M12,991,696,295,0,"33,2 %","81,69","10,82","15,0 %"
CH,020000055,CH NOUVION EN THIERACHE,M12,379,373,1 à 10,0,"39,8 %","79,87","9,46","9,8 %"
CH,020000063,CH DE SAINT QUENTIN,M12,35 292,23 839,11 453,45 051,"51,1 %","61,31","1,58","1,1 %"
CH,020000071,CH DE VERVINS,M12,619,614,1 à 10,0,"42,5 %","78,60","12,51","11,1 %"
CH,020000253,CH DE LAON,M12,14 323,10 770,3 553,8 294,"48,2 %","56,39","2,78","1,5 %"
CH,020000261,CH DE SOISSONS,M12,21 792,16 207,5 585,14 035,"49,2 %","58,29","2,29","1,7 %"
CH,020000287,CH DE CHAUNY,M12,10 362,7 204,3 158,1 763,"46,6 %","56,67","3,82","1,7 %"
CH,020004404,CH DE CHATEAU-THIERRY,M12,13 130,8 899,4 231,149,"45,1 %","54,55","3,76","2,1 %"
CH,020004495,CH BRISSET HIRSON,M12,3 599,1 898,1 701,0,"55,3 %","60,57","4,60","3,5 %"
CH,030002158,CH DPT COEUR DU BOURBONNAIS,M12,181,180,1 à 10,0,"47,5 %","81,27","19,06","8,3 %"
CH,030780092,CH MOULINS YZEURE,M12,18 666,14 626,4 040,24 536,"50,7 %","62,68","2,26","1,2 %"
CH,030780100,CH DE MONTLUCON NERIS-LES-BAINS,M12,21 410,16 450,4 960,10 519,"50,3 %","59,39","3,20","2,0 %"
CH,030780118,CH VICHY,M12,28 000,18 238,9 762,12 675,"52,6 %","60,62","2,56","1,6 %"
CH,030780126,CH DE BOURBON L'ARCHAMBAULT,M12,92,92,0,0,"32,6 %","82,77","19,63","8,7 %"
